tag;artist;song;popularity;id;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms
happy;Alessandro Marcello;Marcello : Trumpet Concerto in C minor : III Allegro;20;1iF4faJwrUshk6WVZW3zcY;0.62;0.309;0;-20.628;0;0.0467;0.939;0.898;0.32;0.738;110.47;166760
happy;Tomaso Albinoni;Concerto for 2 Oboes in F Major, Op. 9, No. 3: I. Allegro;27;1OoXFOpUjCbo0UEA2l2qGK;0.65;0.314;5;-15.358;1;0.0461;0.951;0.813;0.195;0.818;104.113;285000
happy;Arcangelo Corelli;Concierto Grossi Op 6. Allegro;24;1PmwjaXhsLLldfk7f64wIe;0.383;0.209;2;-16.775;1;0.0441;0.965;0.4;0.168;0.441;76.967;131467
happy;Jean-Marie Leclair;Violin Concerto in F Major, Op. 7, No. 4: I. Allegro moderato;8;4UMB6UzvIk7IoBy0Whzfsq;0.527;0.24;11;-16.309;1;0.0434;0.825;7.59e-05;0.187;0.71;94.479;302587
happy;Giuseppe Tartini;Tartini: Variations on a theme by Corelli;16;09M7j8cDDcZUqMtOoxqfSC;0.544;0.311;5;-12.591;1;0.0613;0.929;0.614;0.0915;0.637;92.392;198387
happy;Arcangelo Corelli;Concerto Grosso in D Major, Op. 6 No. 4: II. Allegro;34;3exta8dwSj4jtkgMnqanKG;0.558;0.257;1;-18.11;1;0.0399;0.93;0.0885;0.182;0.716;132.884;174427
happy;Giovanni Battista Pergolesi;Concerto for Flute and 2 Violins in G Major: I. Spiritoso;28;6zoYzjBUL1VYdjFiVTCgqm;0.545;0.152;7;-17.578;1;0.0576;0.987;0.75;0.223;0.786;104.145;271760
happy;Alessandro Marcello;"Concerto No. 1 in D Major, SF 936 ""La Cetra"": I. Allegro assai";18;3r6lC3QDNiNdINaYMg6NCt;0.509;0.42;1;-16.851;1;0.0362;0.967;0.934;0.106;0.775;106.328;131600
happy;Johann Friedrich Fasch;Concerto in D Major for Two Corni Da Caccia, Two Oboes, Bassoon, Strings and Basso Continuo: 3. Allegro;12;7DoVHJg7QQ6YwGU3J4j78W;0.543;0.171;2;-19.512;1;0.0309;0.992;0.932;0.142;0.563;100.823;236093
happy;Florilegium;Exaltate Regem Regum;17;0XaO2P1QcrCsB3uBdsNnv6;0.512;0.213;6;-15.575;1;0.0348;0.964;0;0.0857;0.802;109.548;117320
happy;Domenico Cimarosa;Oboe Concerto in C: 4. Allegro giusto;9;5h1wS4jJ7d47bUYPz2RZXN;0.44;0.219;0;-19.378;1;0.04;0.807;0.936;0.12;0.573;112.505;140000
