sep=,
dance,Starz_on_54_If_you_could_read_my_mind_1998_,0.244
dance,Suzanne_Vega_Toms_Diner_Official_Music_Video_,0.366
dance,Sweet_Like_Chocolate_Sharon_Woolf_Bimbo_Jones_Remix,0.432
dance,The_Chemical_Brothers_Block_Rockin_Beats,0.441
dance,The_Prodigy_Breathe_,0.52
dance,Tim_Deluxe_Feat_Sam_Obernik_It_Just_Won_t_Do_Radio_Edit_,0.391
dance,Touch_Me_feat_Cassandra_Rui_Da_Silva_Radio_Edit_OFFICIAL_,0.373
dance,Underworld_Born_Slippy_Nuxx_Creative_Commission_version_,0.426
dance,Urban_Cookie_Collective_The_Key_The_Secret,0.367
dance,Vengaboys_Boom_Boom_Boom_Boom_,0.153
dance,Wamdue_Project_King_of_My_Castle_Official_Video_,0.346
dance,We_Like_to_Party_Six_Flags_Theme_Song_with_lyrics_,0.248
dance,Will_Smith_Gettin_Jiggy_Wit_It,0.411
dance,Womack_Womack_Teardrops_7_edit_,0.381
dance,Yakooza_Cocaine_Dj_Wag_Mix,0.343
dance,Zombie_Nation_Kernkraft_400_Dj_Gius_Radio_Edit_HQ_,0.312
electronic,Alpha_9_The_Night_Is_Ours_Extended_Mix_,0.246
electronic,Andy_Bianchini_Gotta_Know_OUT_NOW_,1.914
electronic,ANOTR_Help_Extended_Mix_,0.313
electronic,Ape_Drums_Deva_feat_Suku_Official_Lyric_Video_,0.615
electronic,Artists_Of_Then_Now_Forever_Forever_Country,0.38
electronic,ATTLAS_What_You_Do_to_Me,0.558
electronic,Au5_I_Miss_You_feat_Kenny_Raye_,0.72
electronic,AWAY_Sleepwalker_feat_London_Thor_,1.695
electronic,Bassnectar_Infrared_ft_Macntaj_Reflective_,0.767
electronic,Bassnectar_Was_Will_Be_ft_Mimi_Page_Reflective_,0.43
electronic,Clockwork_Rumination,0.698
electronic,Craig_Connelly_feat_Dan_Dobson_Elle_Vee_Battleground,0.771
electronic,Dirty_South_feat_ANIMA_I_Swear_Dirty_South_Remix_,0.386
electronic,DJ_Fresh_Gold_Dust_Official_Video_,0.372
electronic,DROELOE_San_Holo_Lines_of_the_Broken_ft_CUT_Official_Lyric_Video_,0.637
electronic,EDX_All_I_Know_Official_Music_Video_,0.773
electronic,Ekali_KRANE_Akira,0.511
electronic,Flume_Hyperreal_feat_Kuc_ka,0.974
electronic,Flume_Numb_Getting_Colder_feat_Kuc_ka_Baauer_Remix,0.43
electronic,Jai_Wolf_Starlight_feat_Mr_Gabriel_,0.492
electronic,Jay_Pryor_Teenage_Crime,0.588
electronic,Jaytech_Judah_Boss_Fight,0.351
electronic,JOYRYDE_HOT_DRUM_Visualizer_,0.621
electronic,Kaivon_Feel_Feat_Dane_l_,0.581
electronic,Kevin_Saunderson_as_E_Dancer_Behold_Extended_Mix_,0.348
electronic,Kill_The_Noise_FUK_UR_MGMT,0.432
electronic,KUURO_Possession_Monstercat_Release_,0.772
electronic,Matroda_Dat_Vibe_Pt_2,0.521
electronic,Maya_Jane_Coles_What_They_Say_Original_Mix_,0.278
electronic,MOUNT_Melody_ft_Bright_Sparks_,0.696
electronic,Notaker_Shimmer_Monstercat_Release_,1.593
electronic,ODESZA_Late_Night_Official_Video,0.729
electronic,ODESZA_Meridian,0.702
electronic,Orchestral_Trap_Egzod_Talisman,0.817
electronic,Pep_Rash_Underground,0.444
electronic,Promise_Land_Borderline_Copyright_Free_Music_,0.729
electronic,Redlight_New_Flows_Rugged_Raw_Remix_,3.125
electronic,RL_Grime_Stay_For_It_feat_Miguel_,0.783
electronic,RL_Grime_What_So_Not_and_Skrillex_Waiting,0.547
electronic,Roulsen_Rumble,0.568
electronic,SOFI_TUKKER_Fuck_They_Official_Audio_,0.802
electronic,Solardo_On_The_Corner,0.381
electronic,Super8_Tab_Cosmo_ASOT2017_,0.808
electronic,Tie_sto_Sevenn_BOOM_Official_Video_,1.7
electronic,Tom_Staar_Drift,0.217
electronic,Tomas_Heredia_Andes_ASOT817_,0.985
electronic,Valentino_Khan_Pump_Official_Audio_,0.285
electronic,Vanilla_Ace_Scandalize_Radio_Edit_,0.419
electronic,Yves_V_Marc_Benjamin_Blow_Official_Music_Video_,0.892
electronic,Zeds_Dead_Slow_Down_Zeds_Dead_Remix_,1.261
happy,_I_Only_Want_to_Be_with_You_Dusty_Springfield,0.423
happy,1963_7_Summer_Holiday_Cliff_Richard_The_Shadows,0.464
happy,8_CALENDAR_GIRL_1999_REMASTERED_VERSION_NEIL_SEDAKA_Deadpool_Ost_,0.467
happy,Aretha_Franklin_I_say_a_little_prayer_Official_song_HQ_version_Photos_Photoshoots,0.473
happy,Aretha_Franklin_Respect_1967_Original_Version_,0.462
happy,Baby_Now_That_I_ve_Found_You_The_Foundations_1967_,0.334
happy,Beach_Boys_Barbara_Ann,0.47
happy,Beach_Boys_Wouldn_t_It_Be_Nice,0.439
happy,Bobby_Darin_Dream_Lover,0.487
happy,Buddy_Holly_That_ll_Be_The_Day_Decca_Version_HQ_Audio_,0.461
happy,Bus_Stop_The_Hollies_1966,0.327
happy,California_Dreamin_The_Mamas_The_Papas,0.348
happy,Cant_Take_My_Eyes_Off_You_Frankie_Valli_and_The_4_Seasons_lyrics,0.628
happy,Do_You_Believe_In_Magic_The_Lovin_Spoonful,0.387
happy,Doo_Wah_Diddy_Diddy_Manfred_Mann_HiQ_Hybrid_JARichardsFilm,0.48
happy,Everly_Brothers_Wake_Up_Little_Susie,0.458
happy,Everyday_By_Buddy_Holly_With_Lyrics,0.284
happy,Gary_Lewis_The_Playboys_This_Diamond_Ring_stereo_,0.428
happy,Herman_s_Hermits_I_m_Into_Something_Good,0.526
happy,I_Feel_Fine_by_The_Beatles_HD_Remastered_Stereo,0.454
happy,I_Think_We_re_Alone_Now_Tommy_James_The_Shondells,0.333
happy,I_Want_You_Back_The_Jackson_5,0.4
happy,Isley_Brothers_This_Old_Heart_Of_Mine_Is_Weak_For_You,0.385
happy,Jackie_Wilson_Your_Love_Keeps_Lifting_Me_Higher_And_Higher_Best_Quality_,0.398
happy,Karaoke_It_s_My_Party_Lesley_Gore_,0.308
happy,Little_Eva_The_Locomotion,0.327
happy,MARMALADE_Ob_La_Di_Ob_La_Da_1969_,0.389
happy,Martha_Reeves_And_The_Vandellas_Dancing_In_The_Street_Lyrics,0.47
happy,MARVIN_GAYE_TAMMI_TERRELL_Ain_t_no_Mountain_High_Enough_,0.346
happy,Marvin_Gaye_I_Heard_It_Through_The_Grapevine_Live_,0.387
happy,Mary_Wells_My_Guy,0.468
happy,Monkees_Daydream_Believer_Great_Audio_Quality_Music_Video_From_MTV_,0.475
happy,Mony_Mony_by_Tommy_James_The_Shondells,0.507
happy,Natalie_Cole_This_Will_Be_An_Everlasting_Love_1975,0.375
happy,Neil_Diamond_Sweet_Caroline_High_Quality_neildiamond,0.528
happy,Oh_Pretty_Woman_Roy_Orbison_HD_HQ_720p_1080p_DVDRip_High_Quality_and_Definition,0.322
happy,Otis_Redding_Sittin_On_The_Dock_Of_The_Bay_Official_Video_,0.361
happy,Petula_Clark_Downtown_original_version,0.584
happy,Sam_Cooke_What_A_Wonderful_World_Official_Lyric_Video_,0.444
happy,Simon_Garfunkel_Mrs_Robinson_Audio_,0.463
happy,Sly_The_Family_Stone_Everyday_People,0.354
happy,Stand_By_Me_Ben_E_King_1961,0.582
happy,Stevie_Wonder_Signed_Sealed_Delivered_I_m_Yours,0.447
happy,THE_ANGELS_My_Boyfriend_s_Back_original_single_version_,0.443
happy,The_Archies_Sugar_Sugar_Original_1969_Music_Video_,0.323
happy,The_Association_Windy,0.494
happy,The_Chiffons_One_Fine_Day_1963,0.366
happy,The_Cowsills_The_Rain_The_Park_Other_Things_Original_1967_Mono_45_Single_Version_HQ_,0.511
happy,the_drifters_up_on_the_roof,0.456
happy,The_Four_Seasons_Sherry_1962_,0.515
happy,The_Four_Tops_I_Can_t_Help_Myself_Sugar_Pie_Honey_Bunch_,0.428
happy,The_Jackson_5_ABC,0.414
happy,The_Marvelettes_Please_Mr_Postman_1961_,0.201
happy,THE_MONKEES_I_M_A_BELIEVER_1966_Original_HQ_856X480_,0.627
happy,The_Ronettes_Be_My_Baby,0.422
happy,The_Seekers_Georgy_Girl_1967_Stereo_,0.394
happy,The_Shangri_Las_Leader_Of_The_Pack_Video_with_High_Quality_Sound,0.646
happy,The_Spencer_Davis_Group_Gimme_Some_Lovin_original_US_mono_mix_45_single,0.461
happy,The_Stone_Poneys_Different_Drum_1967_Video,0.347
happy,The_Supremes_You_can_t_hurry_love_GR_082_16_Official_Video_,0.418
happy,The_Supremes_Baby_Love,0.573
happy,The_Supremes_Come_See_About_Me_Stereo_,0.395
happy,The_Temptations_Get_Ready,0.424
happy,The_Temptations_My_Girl,0.592
happy,The_Toys_A_Lovers_Concerto,0.308
happy,The_Turtles_Elenore_lyrics,0.449
happy,The_Turtles_Happy_together_video_audio_edited_remastered_HQ,0.474
happy,Then_He_Kissed_Me_The_Crystals,0.441
happy,Tom_Jones_It_s_Not_Unusual_With_Lyrics_,0.544
happy,Van_Morrison_Brown_Eyed_Girl,0.37
melancholia,_13_Ryan_Adams_Harder_Now_That_It_s_Over,0.51
melancholia,Agnes_Obel_Riverside_Official_,0.603
melancholia,Alice_in_Chains_Nutshell,0.443
melancholia,Bat_For_Lashes_Siren_Song,0.753
melancholia,Bear_s_Den_When_You_Break_Lyrics,0.681
melancholia,Beck_Guess_I_m_Doing_Fine,0.57
melancholia,Ben_Folds_Five_Brick,0.436
melancholia,Blue_October_Hate_Me_10th_Anniversary_Live_,0.605
melancholia,Bright_Eyes_Something_vague,0.502
melancholia,Cat_Power_Good_Woman,0.597
melancholia,Christina_Perri_A_Thousand_Years_Official_Music_Video_,0.707
melancholia,Ciaran_Lavery_Lovers_who_make_Love,0.562
melancholia,Counting_Crows_Speedway,0.375
melancholia,Damien_Rice_9_Crimes_Official_Video,0.746
melancholia,Daniel_Gidlund_Wasteland,0.433
melancholia,Ed_Sheeran_I_See_Fire_Music_Video_,0.726
melancholia,Elton_John_Sorry_Seems_To_Be_The_Hardest_Word,0.717
melancholia,Flightless_Bird_American_Mouth_Iron_and_Wine,0.604
melancholia,Fractures_Wake_Up_acoustic_,0.544
melancholia,Frightened_Rabbit_Keep_Yourself_Warm,0.574
melancholia,Girl_With_The_Red_Balloon_The_Civil_Wars_With_Lyrics_,0.634
melancholia,Goo_Goo_Dolls_Name_Official_Video_,0.78
melancholia,Goo_Goo_Dolls_Black_Balloon_Official_Music_Video_,0.427
melancholia,Hurray_for_the_Riff_Raff_I_m_So_Lonesome_I_Could_Cry_Hank_Williams_,0.523
melancholia,James_Blunt_Goodbye_My_Lover_OFFICIAL_VIDEO_,0.86
melancholia,James_TW_When_You_Love_Someone_Official_Video_,0.46
melancholia,Jason_Mraz_ft_James_Morrison_Details_in_The_Fabric,0.63
melancholia,Jeff_Buckley_Hallelujah_Official_Video_,0.641
melancholia,John_Mayer_Split_Screen_Sadness,0.605
melancholia,Keaton_Henson_Flesh_And_Bone_HD_,0.734
melancholia,King_s_Crossing_Elliott_Smith_with_lyrics_,0.439
melancholia,Lana_Del_Rey_Summertime_Sadness,0.518
melancholia,Leonard_Cohen_Famous_Blue_Raincoat_Lyrics_HD,0.569
melancholia,Lykke_Li_Sadness_Is_a_Blessing_Director_Tarik_Saleh_,1.13
melancholia,Maroon_5_Sad,0.541
melancholia,Matthew_Perryman_Jones_Only_You_Lyrics_,0.575
melancholia,michael_andrews_mad_world,0.784
melancholia,Miley_Cyrus_Wrecking_Ball,0.559
