sep=,
dance,Ida_Corr_Let_Me_Think_About_It_Radio_Edit_,0.134
dance,Ini_Kamoze_Here_Comes_The_Hotstepper_HQ_,0.11
dance,Jam_Spoon_Feat_Plavka_Right_In_The_Night_Full_Length_Mix_1993_HD_1080p_FULL_EDIT_mp4,0.118
dance,Jamiroquai_Virtual_Insanity_Official_Video_,0.102
dance,Junior_Jack_Stupidisco_Official_Video_,0.16
dance,Junior_Senior_Move_Your_Feet_Official_music_video_HD_,0.155
dance,Justin_Timberlake_Rock_Your_Body,0.114
dance,Kylie_Minogue_Can_t_Get_You_Out_Of_My_Head_HD_,0.052
dance,La_Bouche_Sweet_Dreams,0.107
dance,Los_del_Rio_Macarena_Original_Video_,0.132
dance,M_PEOPLE_MOVING_ON_UP_HD_1993,0.084
dance,Madison_Avenue_Don_t_Call_Me_Baby_Original_Mix_,0.155
dance,Mariah_Carey_Honey,0.116
dance,Massive_Attack_Unfinished_Sympathy,0.053
dance,Moby_Go,0.089
dance,Modjo_Lady_Hear_Me_Tonight_Official_Video_,0.103
dance,mousse_t_vs_hot_n_juicy_horny_98_radio_edit_,0.155
dance,Mr_President_Coco_Jamboo_Radio_Version_,0.118
dance,N_Joi_Anthem_,0.178
dance,N_Trance_Stayin_Alive,0.08
dance,Naughty_By_Nature_Hip_Hop_Hooray_HQ,0.093
dance,New_Kids_On_The_Block_Step_by_Step_Official_video_Subtitulado_Espan_ol,0.135
dance,Nick_Coleman_Faces_Of_Meth_T_Rek_Remix_,0.048
dance,No_Mercy_Where_Do_You_Go_Radio_Mix_HQ,0.214
dance,O_P_P_Naughty_By_Nature_HQ_Audio_,0.154
dance,Olive_You_re_Not_Alone_Original_Radio_Edit_,0.106
dance,OMC_How_Bizarre,0.054
dance,Outhere_Brothers_Boom_Boom_Boom_Official_Video,0.117
dance,Paul_Johnson_Get_Get_Down_Original_Radio_,0.151
dance,Praise_You_by_Fatboy_Slim_Official_Video_,0.075
dance,Puretone_Addicted_To_Bass,0.129
dance,Real_McCoy_Another_Night,0.153
dance,Real_McCoy_Automatic_Lover_Call_For_Love_,0.183
dance,Ricky_Martin_Livin_La_Vida_Loca,0.147
dance,Robert_Miles_Children_Dream_Version_,0.071
dance,Robin_S_Show_Me_Love_Official_Music_Video_1993_,0.153
dance,Rockafeller_Skank_by_Fatboy_Slim_Official_Video_,0.121
dance,Room_5_make_luv,0.157
dance,RUN_DMC_Jason_Nevins_It_s_Like_That,0.087
dance,Snap_Power_7_version_,0.223
dance,Snow_Informer_1992_HQ,0.171
dance,Sonique_It_Feels_So_Good,0.145
dance,Soul_II_Soul_Back_To_Life,0.089
dance,Stardust_Music_Sounds_Better_With_You,0.069
dance,Starz_on_54_If_you_could_read_my_mind_1998_,0.076
dance,Suzanne_Vega_Toms_Diner_Official_Music_Video_,0.105
dance,Sweet_Like_Chocolate_Sharon_Woolf_Bimbo_Jones_Remix,0.106
dance,The_Chemical_Brothers_Block_Rockin_Beats,0.111
dance,The_Prodigy_Breathe_,0.141
dance,Tim_Deluxe_Feat_Sam_Obernik_It_Just_Won_t_Do_Radio_Edit_,0.104
dance,Touch_Me_feat_Cassandra_Rui_Da_Silva_Radio_Edit_OFFICIAL_,0.073
dance,Underworld_Born_Slippy_Nuxx_Creative_Commission_version_,0.088
dance,Urban_Cookie_Collective_The_Key_The_Secret,0.228
dance,Vengaboys_Boom_Boom_Boom_Boom_,0.102
dance,Wamdue_Project_King_of_My_Castle_Official_Video_,0.063
dance,We_Like_to_Party_Six_Flags_Theme_Song_with_lyrics_,0.143
dance,Will_Smith_Gettin_Jiggy_Wit_It,0.143
dance,Womack_Womack_Teardrops_7_edit_,0.311
dance,Yakooza_Cocaine_Dj_Wag_Mix,0.027
dance,Zombie_Nation_Kernkraft_400_Dj_Gius_Radio_Edit_HQ_,0.051
electronic,Alpha_9_The_Night_Is_Ours_Extended_Mix_,0.053
electronic,Andy_Bianchini_Gotta_Know_OUT_NOW_,0.123
electronic,ANOTR_Help_Extended_Mix_,0.124
electronic,Ape_Drums_Deva_feat_Suku_Official_Lyric_Video_,0.121
electronic,Artists_Of_Then_Now_Forever_Forever_Country,0.084
electronic,ATTLAS_What_You_Do_to_Me,0.096
electronic,Au5_I_Miss_You_feat_Kenny_Raye_,0.168
electronic,AWAY_Sleepwalker_feat_London_Thor_,0.073
electronic,Bassnectar_Infrared_ft_Macntaj_Reflective_,0.101
electronic,Bassnectar_Was_Will_Be_ft_Mimi_Page_Reflective_,0.143
electronic,Clockwork_Rumination,0.08
electronic,Craig_Connelly_feat_Dan_Dobson_Elle_Vee_Battleground,0.173
electronic,Dirty_South_feat_ANIMA_I_Swear_Dirty_South_Remix_,0.108
electronic,DJ_Fresh_Gold_Dust_Official_Video_,0.163
electronic,DROELOE_San_Holo_Lines_of_the_Broken_ft_CUT_Official_Lyric_Video_,0.05
electronic,EDX_All_I_Know_Official_Music_Video_,0.068
electronic,Ekali_KRANE_Akira,0.152
electronic,Flume_Hyperreal_feat_Kuc_ka,0.102
electronic,Flume_Numb_Getting_Colder_feat_Kuc_ka_Baauer_Remix,0.162
electronic,Jai_Wolf_Starlight_feat_Mr_Gabriel_,0.122
electronic,Jay_Pryor_Teenage_Crime,0.107
electronic,Jaytech_Judah_Boss_Fight,0.153
electronic,JOYRYDE_HOT_DRUM_Visualizer_,0.114
electronic,Kaivon_Feel_Feat_Dane_l_,0.091
electronic,Kevin_Saunderson_as_E_Dancer_Behold_Extended_Mix_,0.105
electronic,Kill_The_Noise_FUK_UR_MGMT,0.103
